complaint_text,category
traffic signal is breaking apart in the downtown area.,Infrastructure
violent kidnapping happened just now near Birendra Chowk.,Public Safety
Attention: violent kidnapping is a threat to life at the train station.,Public Safety
violent kidnapping is extremely scary at the train station.,Public Safety
passport processing is stuck for months at city hall.,Administration
Attention: pothole on road is dangerous for cars in the downtown area.,Infrastructure
Report: street lights is breaking apart in the downtown area.,Infrastructure
Urgent: suspicious loitering is a threat to life at the train station.,Public Safety
The parade is a great event today.,Sanitation
passport processing is stuck for months at city hall.,Administration
ambulance response is critical condition at the city hospital.,Healthcare
The parade is interesting today.,General
Attention: gang fighting is a threat to life in the community park.,Public Safety
illegal racing is extremely scary in the community park.,Public Safety
Community festival is interesting in the park.,General
insulin stock is dropping fast in the medical ward.,Healthcare
gang fighting happened just now in the community park.,Public Safety
pothole on road is breaking apart on the main highway.,Infrastructure
Attention: clerk behavior is full of errors at city hall.,Administration
street lights is dangerous for cars on the main highway.,Infrastructure
City gardens is interesting in the park.,General
City gardens is a great event today.,General
Urgent: insulin stock is dangerously low in the medical ward.,Healthcare
ambulance response is dangerously low in the medical ward.,Healthcare
Report: tax documents is stuck for months on the government portal.,Administration
Urgent: clerk behavior is being delayed on the government portal.,Administration
Urgent: heart rate is critical condition at the city hospital.,Healthcare
suspicious loitering is out of control near Birendra Chowk.,Public Safety
insulin stock is dropping fast at the ER.,Healthcare
trash accumulation is rotting and stinking behind the school.,Sanitation
street lights is crumbling on the main highway.,Infrastructure
Report: pothole on road is crumbling in the downtown area.,Infrastructure
passport processing is full of errors in the records office.,Administration
gang fighting reported last night near Birendra Chowk.,Public Safety
illegal dumping is overflowing onto street near the park.,Sanitation
birth certificate is stuck for months at city hall.,Administration
gang fighting is extremely scary near Birendra Chowk.,Public Safety
blood pressure is out of stock in the medical ward.,Healthcare
bridge support is breaking apart on the main highway.,Infrastructure
The weather is very nice today.,General
Report: medical emergency is out of stock at the ER.,Healthcare
Attention: traffic signal is breaking apart in the downtown area.,Infrastructure
passport processing is stuck for months in the records office.,Administration
blood pressure is dangerously low near the health clinic.,Healthcare
Report: raw sewage is attracting rats outside my house.,Sanitation
ambulance response is out of stock in the medical ward.,Healthcare
Website layout is interesting for everyone.,General
raw sewage is rotting and stinking near the park.,Sanitation
clerk behavior is being delayed at city hall.,Administration
ambulance response is dropping fast at the city hospital.,Healthcare
traffic signal is dangerous for cars at the intersection.,Infrastructure
The weather is helpful today.,General
tax documents is stuck for months on the government portal.,Administration
passport processing keeps crashing at city hall.,Administration
garbage pile is overflowing onto street in the residential alley.,Sanitation
The parade is interesting in the park.,Public Safety
City gardens is helpful this morning.,General
violent kidnapping reported last night near Birendra Chowk.,Public Safety
pothole on road needs urgent repair in the downtown area.,Infrastructure
garbage pile is rotting and stinking in the residential alley.,Sanitation
Urgent: gunshots fired is extremely scary at the train station.,Public Safety
Report: official website is stuck for months at city hall.,Administration
street lights is gushing water near the square.,Infrastructure
Website layout is a great event this morning.,General
raw sewage is leaking into drains near the park.,Sanitation
Community festival looks beautiful this morning.,General
trash accumulation is overflowing onto street near the park.,Sanitation
Community festival is very nice for everyone.,General
garbage pile is leaking into drains outside my house.,Sanitation
theft in progress is out of control in the community park.,Public Safety
recycling bin is attracting rats outside my house.,Sanitation
illegal dumping is rotting and stinking near the park.,Sanitation
Attention: blood pressure needs a doctor immediately at the city hospital.,Sanitation
Urgent: suspicious loitering is a threat to life in the community park.,Public Safety
Website layout is very nice this morning.,General
official website keeps crashing at town hall.,Administration
cracked sidewalk is breaking apart at the intersection.,Infrastructure
violent kidnapping happened just now outside the mall.,Public Safety
illegal dumping is rotting and stinking outside my house.,Sanitation
trash accumulation is leaking into drains near the park.,Sanitation
Website layout is very nice today.,General
Attention: garbage pile is overflowing onto street near the park.,Sanitation
Report: tax documents is stuck for months at town hall.,Infrastructure
illegal racing is a threat to life in the community park.,Public Safety
heart rate is out of stock near the health clinic.,Healthcare
illegal dumping is rotting and stinking behind the school.,Sanitation
Urgent: garbage pile is leaking into drains behind the school.,Sanitation
garbage pile is attracting rats outside my house.,Sanitation
Report: clerk behavior is full of errors in the records office.,Administration
Community festival is helpful this morning.,General
garbage pile is leaking into drains near the park.,Sanitation
recycling bin is rotting and stinking in the residential alley.,Sanitation
street lights needs urgent repair on the main highway.,Infrastructure
Report: Community festival is very nice for everyone.,General
Urgent: pothole on road is gushing water near the square.,Infrastructure
dead animal carcass is overflowing onto street behind the school.,Sanitation
City gardens looks beautiful this morning.,General
trash accumulation is attracting rats in the residential alley.,Sanitation
Community festival is very nice today.,General
traffic signal is gushing water near the square.,Infrastructure
Report: trash accumulation is rotting and stinking near the park.,Sanitation
bridge support is gushing water in the downtown area.,Infrastructure
Report: gunshots fired is extremely scary at the train station.,Public Safety
Urgent: City gardens is interesting for everyone.,General
Report: The parade is helpful today.,General
trash accumulation is overflowing onto street near the park.,Sanitation
gunshots fired is extremely scary at the train station.,Public Safety
ambulance response is critical condition at the city hospital.,Healthcare
suspicious loitering is out of control in the community park.,Public Safety
The parade looks beautiful this morning.,General
street lights is gushing water at the intersection.,Infrastructure
raw sewage is overflowing onto street in the residential alley.,Sanitation
official website is stuck for months on the government portal.,Administration
Website layout is helpful this morning.,General
tax documents is being delayed in the records office.,Administration
theft in progress is a threat to life outside the mall.,Public Safety
clerk behavior requested a bribe in the records office.,Administration
Attention: recycling bin is leaking into drains near the park.,Sanitation
Report: tax documents keeps crashing on the government portal.,Administration
Urgent: medical emergency is dropping fast near the health clinic.,Healthcare
Attention: City gardens looks beautiful this morning.,General
bridge support is crumbling near the square.,Infrastructure
gang fighting reported last night at the train station.,Public Safety
Urgent: dead animal carcass is rotting and stinking in the residential alley.,Sanitation
insulin stock is dropping fast in the medical ward.,Healthcare
Urgent: pothole on road needs urgent repair in the downtown area.,Infrastructure
insulin stock is dropping fast in the medical ward.,Healthcare
blood pressure is dropping fast at the ER.,Healthcare
Attention: dead animal carcass is rotting and stinking outside my house.,Sanitation
cracked sidewalk is dangerous for cars on the main highway.,Infrastructure
raw sewage is overflowing onto street outside my house.,Sanitation
illegal dumping is leaking into drains in the residential alley.,Infrastructure
gunshots fired happened just now at the train station.,Public Safety
Urgent: raw sewage is attracting rats behind the school.,Sanitation
Attention: birth certificate is full of errors at town hall.,Administration
insulin stock is dropping fast at the city hospital.,Healthcare
Urgent: water pipe leak is gushing water near the square.,Infrastructure
Attention: clerk behavior is stuck for months at town hall.,Administration
suspicious loitering is out of control at the train station.,Public Safety
cracked sidewalk needs urgent repair in the downtown area.,Infrastructure
water pipe leak needs urgent repair on the main highway.,Infrastructure
Attention: violent kidnapping reported last night near Birendra Chowk.,Public Safety
bridge support is crumbling at the intersection.,Infrastructure
birth certificate requested a bribe in the records office.,Administration
suspicious loitering reported last night near Birendra Chowk.,Public Safety
street lights needs urgent repair on the main highway.,Infrastructure
Website layout is interesting in the park.,General
water pipe leak is crumbling on the main highway.,Infrastructure
Urgent: cracked sidewalk is crumbling near the square.,Infrastructure
insulin stock is critical condition in the medical ward.,Healthcare
Attention: permit application requested a bribe at town hall.,Administration
gang fighting is out of control near Birendra Chowk.,Public Safety
Report: traffic signal is crumbling on the main highway.,Infrastructure
raw sewage is rotting and stinking behind the school.,Sanitation
Attention: street lights needs urgent repair near the square.,Infrastructure
traffic signal is gushing water in the downtown area.,Administration
traffic signal is crumbling at the intersection.,Infrastructure
violent kidnapping is a threat to life in the community park.,Public Safety
illegal racing is extremely scary in the community park.,Public Safety
Urgent: dead animal carcass is attracting rats near the park.,Sanitation
Report: trash accumulation is overflowing onto street in the residential alley.,Sanitation
heart rate is out of stock in the medical ward.,Healthcare
Urgent: blood pressure is critical condition at the city hospital.,Healthcare
Report: ambulance response is critical condition at the city hospital.,Healthcare
Urgent: The weather looks beautiful in the park.,General
permit application is full of errors on the government portal.,Administration
heart rate needs a doctor immediately near the health clinic.,Healthcare
Report: gunshots fired is out of control outside the mall.,Public Safety
Attention: The parade is interesting for everyone.,General
Report: pothole on road is dangerous for cars on the main highway.,Infrastructure
bridge support is crumbling in the downtown area.,Infrastructure
medical emergency is dangerously low at the ER.,Healthcare
dead animal carcass is rotting and stinking behind the school.,Sanitation
recycling bin is overflowing onto street in the residential alley.,Sanitation
birth certificate is stuck for months at town hall.,Administration
pothole on road is breaking apart near the square.,Infrastructure
The weather is interesting in the park.,General
theft in progress is extremely scary in the community park.,Public Safety
dead animal carcass is leaking into drains near the park.,Sanitation
The weather is interesting for everyone.,General
Report: passport processing keeps crashing at city hall.,Administration
Report: Community festival is very nice for everyone.,General
pothole on road is gushing water at the intersection.,Infrastructure
Report: street lights needs urgent repair near the square.,Infrastructure
passport processing is being delayed on the government portal.,Administration
illegal racing is a threat to life in the community park.,Public Safety
gang fighting is out of control near Birendra Chowk.,Public Safety
Urgent: bridge support is breaking apart at the intersection.,Infrastructure
illegal dumping is attracting rats behind the school.,Sanitation
Urgent: street lights is breaking apart at the intersection.,Infrastructure
violent kidnapping happened just now near Birendra Chowk.,Public Safety
Attention: insulin stock is out of stock near the health clinic.,Healthcare
Report: recycling bin is overflowing onto street outside my house.,Sanitation
Urgent: official website requested a bribe at city hall.,Administration
illegal dumping is attracting rats outside my house.,Sanitation
Attention: insulin stock is critical condition at the city hospital.,Healthcare
Report: permit application is being delayed in the records office.,Administration
gunshots fired is out of control outside the mall.,Public Safety
insulin stock is dropping fast near the health clinic.,Healthcare
recycling bin is overflowing onto street near the park.,Sanitation
City gardens is helpful for everyone.,General
City gardens looks beautiful this morning.,General
heart rate is dropping fast at the city hospital.,Healthcare
heart rate is dropping fast in the medical ward.,Healthcare
Website layout is helpful today.,General
street lights is gushing water in the downtown area.,Infrastructure
Report: violent kidnapping happened just now outside the mall.,Public Safety
water pipe leak needs urgent repair near the square.,Infrastructure
Report: heart rate is dangerously low in the medical ward.,Healthcare
Report: raw sewage is attracting rats near the park.,Sanitation
gunshots fired is a threat to life outside the mall.,Public Safety
trash accumulation is rotting and stinking near the park.,Sanitation
Attention: ambulance response needs a doctor immediately at the city hospital.,Healthcare
blood pressure is critical condition near the health clinic.,Healthcare
trash accumulation is leaking into drains in the residential alley.,Sanitation
illegal racing is out of control outside the mall.,Public Safety
Report: clerk behavior keeps crashing in the records office.,Administration
official website is stuck for months in the records office.,Administration
pothole on road is gushing water on the main highway.,Infrastructure
pothole on road is breaking apart at the intersection.,Infrastructure
bridge support is breaking apart near the square.,Infrastructure
gunshots fired is out of control in the community park.,Public Safety
raw sewage is overflowing onto street behind the school.,Sanitation
